Dataset,Total_time,LLaMA_parsing_time,Prefix_Tree_parsing_time,Regex_parsing_time,RoBERTa_parsing_time,GA,PA,FGA,FTA,Event_count
Hadoop,128.987345,103.6255394,9.931333,2.780647,12.64982557,0.982282644,0.931719567,0.951781971,0.750524109,241
Zookeeper,26.01854,19.21972762,3.224848,0.317297,3.256667376,1,0.998182381,1,0.943820225,89
HPC,63.334417,24.62720398,31.905963,1.493408,5.307842016,0.865926491,0.993171902,0.912751678,0.751677852,75
Linux,125.692694,109.4788843,1.973087,1.638623,12.60209966,0.968563187,0.938464111,0.88,0.784615385,312
HealthApp,194.791142,51.31720305,139.849512,0.387524,3.236902952,0.973539742,0.964876597,0.909677419,0.819354839,154
Apache,13.47678699,10.10128408,1.8947,0.049194,1.431608915,1,0.999461311,1,0.931034483,29
Proxifier,8.32813,6.185792532,1.265967,0.015281,0.861089468,1,0.993339587,1,0.818181818,11
OpenSSH,51.780303,19.92350186,29.537797,0.10756,2.211444139,0.747124566,0.938206,0.868421053,0.789474,38
OpenStack,35.852208,19.64474584,13.114941,0.132539,2.959982157,1,0.970389921,1,0.895833333,48
Mac,472.182314,414.0600587,6.40581,15.017912,36.6985333,0.88596806,0.710728313,0.847402597,0.506493506,608
HDFS,582.764872,131.3914017,448.645632,0.191963,2.53587532,0.999995254,0.999983524,0.933333333,0.844444444,44
Spark,1733.261115,733.0650442,979.761149,3.572032,16.86288977,0.975326711,0.996938809,0.891170431,0.710472279,251
BGL,443.353521,168.7879691,248.864806,8.878193,16.82255292,0.893202521,0.96409466,0.837579618,0.703821656,308
Thunderbird,4849.91211,1270.65604,2439.523512,1065.563615,74.16894293,0.882440189,0.747964687,0.855670103,0.526566217,1288
